iso_o,iso_d,dist,distw,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,log_dist,historical_tie,common_language
ARG,LAO,17399.46,17689.23,0,0,0,0,0,0,0,0,9.764194450238282,0,0
ARG,LKA,14774.54,15078.43,0,0,0,0,0,0,0,0,9.600660708117893,0,0
ARG,LTU,12731.28,12661.51,0,0,0,0,0,0,0,0,9.45181723637882,0,0
ARG,LUX,11333.12,11311.68,0,0,0,0,0,0,0,0,9.335484691223613,0,0
ARG,LVA,12773.93,12755.68,0,0,0,0,0,0,0,0,9.455161654225511,0,0
ARG,MAR,9348.923,9321.642,0,0,0,0,0,0,0,0,9.143016428482406,0,0
ARG,MEX,7397.651,7533.986,0,1,1,0,0,0,0,0,8.90891779636749,0,1
ARG,MLT,10906.92,10951.72,0,0,0,0,0,0,0,0,9.297152729162685,0,0
ARG,MMR,16823.83,17150.68,0,0,0,0,0,0,0,0,9.730551612719026,0,0
ARG,MNG,18125.58,17994.31,0,0,0,0,0,0,0,0,9.805079479210887,0,0
ARG,MYS,15970.66,16333.03,0,0,0,0,0,0,0,0,9.678508567844142,0,0
ARG,NAM,7342.774,7605.196,0,0,0,0,0,0,0,0,8.90147197936664,0,0
ARG,NGA,7938.363,8365.154,0,0,0,0,0,0,0,0,8.979462361700326,0,0
ARG,NLD,11466.75,11434.1,0,0,0,0,0,0,0,0,9.347206822108832,0,0
ARG,NOR,12270.74,12204.09,0,0,0,0,0,0,0,0,9.414972845584852,0,0
ARG,NPL,16522.17,16648.44,0,0,0,0,0,0,0,0,9.712458394380738,0,0
ARG,NZL,9729.112,10156.1,0,0,0,0,0,0,0,0,9.182877906883675,0,0
ARG,OMN,13896.67,13922.6,0,0,0,0,0,0,0,0,9.53940452207238,0,0
ARG,PAK,15622.21,15391.13,0,0,0,0,0,0,0,0,9.656448898660868,0,0
ARG,PAN,5334.829,5126.519,0,1,1,0,0,0,0,0,8.582012110738564,0,1
ARG,PER,3133.925,2954.814,0,1,1,0,0,0,0,0,8.05004149155112,0,1
ARG,PHL,17801.66,17783.11,0,0,0,0,0,0,0,0,9.787046990358846,0,0
ARG,POL,12351.58,12224.97,0,0,0,0,0,0,0,0,9.421539269095783,0,0
