iso3c,country,year,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes,indicator,value
USA,United States,2024,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,75489.2664334817
USA,United States,2024,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,340110988
USA,United States,2024,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2024,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,94.69380188
USA,United States,2024,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,NA
CAN,Canada,2004,Canada,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,9.06623363
CAN,Canada,2004,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,1.8971
CAN,Canada,2004,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,8.471
CAN,Canada,2004,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,3.42
CAN,Canada,2004,Canada,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,79.9921951219512
CAN,Canada,2004,Canada,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,51210.6796118735
CAN,Canada,2004,Canada,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,31938807
CAN,Canada,2004,Canada,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
CAN,Canada,2004,Canada,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,65.9559634648989
CAN,Canada,2004,Canada,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,1.99735
CAN,Canada,2005,Canada,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,9.03529835
CAN,Canada,2005,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
CAN,Canada,2005,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,8.691
CAN,Canada,2005,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,3.08
CAN,Canada,2005,Canada,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,80.1126829268293
CAN,Canada,2005,Canada,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,52356.5578038534
CAN,Canada,2005,Canada,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,32242732
CAN,Canada,2005,Canada,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
CAN,Canada,2005,Canada,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,71.66
CAN,Canada,2005,Canada,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,1.97127
CAN,Canada,2006,Canada,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,9.33188725
CAN,Canada,2006,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,1.9086
CAN,Canada,2006,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,8.807
CAN,Canada,2006,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,3
CAN,Canada,2006,Canada,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,80.5436585365854
CAN,Canada,2006,Canada,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,53195.781842155
CAN,Canada,2006,Canada,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,32571193
CAN,Canada,2006,Canada,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
CAN,Canada,2006,Canada,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,72.40000153
CAN,Canada,2006,Canada,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,1.94304
CAN,Canada,2007,Canada,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,9.4346962
CAN,Canada,2007,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
CAN,Canada,2007,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,9.006
CAN,Canada,2007,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.95
CAN,Canada,2007,Canada,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,80.5436585365854
CAN,Canada,2007,Canada,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,53761.8620298113
