iso3c,year,indicator_code,value,value_text,parent_location,parent_location_code,indicator_label,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes
ARE,2004,UHC_SCI_NCD,66,66,Eastern Mediterranean,EMR,UHC service coverage sub-index on noncommunicable diseases,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2004,UHC_SCI_RMNCH,68,68,Eastern Mediterranean,EMR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2005,GHED_EXTCHE_SHA2011,0,0.00,Eastern Mediterranean,EMR,External health expenditure as percentage of current health expenditure,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2005,UHC_INDEX_REPORTED,71,71,Eastern Mediterranean,EMR,UHC service coverage index,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2005,UHC_SCI_CAPACITY,58,58,Eastern Mediterranean,EMR,UHC service coverage sub-index on service capacity and access,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2005,UHC_SCI_INFECT,99,99,Eastern Mediterranean,EMR,UHC service coverage sub-index on infectious diseases,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2005,UHC_SCI_NCD,66,66,Eastern Mediterranean,EMR,UHC service coverage sub-index on noncommunicable diseases,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2005,UHC_SCI_RMNCH,68,68,Eastern Mediterranean,EMR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2006,GHED_EXTCHE_SHA2011,0,0.00,Eastern Mediterranean,EMR,External health expenditure as percentage of current health expenditure,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2006,UHC_INDEX_REPORTED,71,71,Eastern Mediterranean,EMR,UHC service coverage index,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2006,UHC_SCI_CAPACITY,59,59,Eastern Mediterranean,EMR,UHC service coverage sub-index on service capacity and access,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2006,UHC_SCI_INFECT,99,99,Eastern Mediterranean,EMR,UHC service coverage sub-index on infectious diseases,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2006,UHC_SCI_NCD,66,66,Eastern Mediterranean,EMR,UHC service coverage sub-index on noncommunicable diseases,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2006,UHC_SCI_RMNCH,68,68,Eastern Mediterranean,EMR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2007,GHED_EXTCHE_SHA2011,0,0.00,Eastern Mediterranean,EMR,External health expenditure as percentage of current health expenditure,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2007,UHC_INDEX_REPORTED,72,72,Eastern Mediterranean,EMR,UHC service coverage index,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2007,UHC_SCI_CAPACITY,62,62,Eastern Mediterranean,EMR,UHC service coverage sub-index on service capacity and access,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2007,UHC_SCI_INFECT,99,99,Eastern Mediterranean,EMR,UHC service coverage sub-index on infectious diseases,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
