iso3c,year,iv_distance_weighted_peer_eigen,iv_language_peer_eigen,iv_historical_peer_eigen,iv_contiguous_peer_eigen
SVK,2008,0.14432783597586113,6.848965290769688e-4,4.044395420639907e-4,4.397349556600168e-4
SVK,2009,0.12786539201998834,5.049650810031715e-4,3.7777892602658164e-4,2.805430415873353e-4
SVK,2010,0.15716437379193748,0.00381720385846254,0.0023709752143357687,0.0022748252296771933
SVK,2011,0.2025718245085228,0.00666755114613126,0.004389804038910677,0.004147575209963901
SVK,2012,0.14811012401631699,0.00261189305021729,0.0019474992574216455,0.0018644529766902096
SVK,2013,0.1396476373151487,7.811335752543768e-4,0.0011980337047105432,6.111338731012129e-4
SVK,2014,0.14274138179966955,0.00130863508264871,0.0012109757234329954,8.745834193575694e-4
SVK,2015,0.17670456417755723,0.01246419284257806,0.011217990537360938,0.008958454440353987
SVK,2016,0.15471972433145367,0.00544669949408324,0.0036552050035311597,0.0036623095704940794
SVK,2017,0.11569978195432029,0.00106858447639572,7.064691734095276e-4,5.986470887119902e-4
SVK,2018,0.18890232674274385,0.03543109074855778,0.0214015397655038,0.0215221203248896
SVK,2019,0.24533786607294172,0.8114844774375581,0.5125713064897991,0.6231660471115793
SVK,2020,0.20009579048749584,0.7590759220766226,0.4655646712834699,0.5724703892898111
SVK,2021,0.21011497543947052,0.2313988897413469,0.134218027459432,0.16484402271923942
SVK,2022,0.15314514890116754,0.05653505250314648,0.03487626051441222,0.042344264465362394
SVK,2023,0.13874055038542976,0.02616402633447825,0.014405527907578994,0.018253544816386046
SVK,2024,0.12256213652305593,0.00809514077669429,0.004980011937141848,0.005654618131890452
SVN,2004,0.21500038104774952,NA,0.0011000536107064769,0.0011538527253149534
SVN,2005,0.1885520436160687,NA,6.77734264526516e-4,9.003025914139239e-4
SVN,2006,0.26028121698070794,NA,0.0014584064551182597,0.0022365535037009283
SVN,2007,0.17011112738490816,NA,0.0015233783288640674,0.0022131416500660145
SVN,2008,0.14551141432304218,NA,4.734732475733654e-4,4.8795777900647274e-4
SVN,2009,0.1286492632617267,NA,4.074597377276178e-4,5.12513212936139e-4
SVN,2010,0.1584297992409088,NA,0.0026954557143675285,0.003250050444997381
SVN,2011,0.20418349414764894,NA,0.005500121053271619,0.005431346661612021
SVN,2012,0.14934798647115674,NA,0.0022416125774734797,0.0030566091516169244
SVN,2013,0.1405770607374672,NA,8.456736230467252e-4,9.022387249226155e-4
SVN,2014,0.1436671583924355,NA,0.0011096523176902496,0.0010574821805896923
